"","ApplNo","text","section"
"16","008578","Hypersensitivity reactions, occasionally severe (such as Stevens- Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, and anaphylaxis), and hyperphenylalaninemia, can occur particularly when pyrimethamine is administered concomitantly with a sulfonamide. Consult the complete prescribing information for the relevant sulfonamide for sulfonamide-associated adverse events. With doses of pyrimethamine used for the treatment of toxoplasmosis, anorexia and vomiting may occur. Vomiting may be minimized by giving the medication with meals; it usually disappears promptly upon reduction of dosage. Doses used in toxoplasmosis may produce megaloblastic anemia, leukopenia, thrombocytopenia, pancytopenia, neutropenia, atrophic glossitis, hematuria, and disorders of cardiac rhythm.Hematologic effects, however, may also occur at low doses in certain individuals (see PRECAUTIONS; General).Pulmonary eosinophilia has been reported rarely.","ADVERSE REACTIONS SECTION"
"17","008578","Following the ingestion of 300 mg or more of pyrimethamine, gastrointestinal and/or central nervous system signs may be present, including convulsions. The initial symptoms are usually gastrointestinal and may include abdominal pain, nausea, severe and repeated vomiting, possibly including hematemesis. Central nervous system toxicity may be manifest by initial excitability, generalized and prolonged convulsions which may be followed by respiratory depression, circulatory collapse, and death within a few hours. Neurological symptoms appear rapidly (30 minutes to 2 hours after drug ingestion), suggesting that in gross overdosage pyrimethamine has a direct toxic effect on the central nervous system.The fatal dose is variable, with the smallest reported fatal single dose being 375 mg. There are, however, reports of pediatric patients who have recovered after taking 375 to 625 mg.There is no specific antidote to acute pyrimethamine poisoning. In the event of overdosage, symptomatic and supportive measures should be employed. Gastric lavage is recommended and is effective if earned out very soon after drug ingestion. Parenteral diazepam may be used to control convulsions. Folinic acid should be administered within 2 hours of drug ingestion to be most effective in counteracting the effects on the hematopoietic system (see WARNINGS). Due to the long half-life of pyrimethamine, daily monitoring of peripheral blood counts is recommended for up to several weeks after the overdose until normal hematologic values are restored.","OVERDOSAGE SECTION"
"19","008578","White, scored tablets containing 25 mg pyrimethamine, imprinted with “DARAPRIM” and “A3A"" in bottles of 100 (NDC 69413-330-10) and bottles of 30 (NDC 69413-330-30).Store at 15° to 25°C (59° to 77°F) in a dry place and protect from light","HOW SUPPLIED SECTION"
"20","008578","Eyles DE, Coleman N. Synergistic effect of sulfadiazine and Daraprim against experimental toxoplasmosis in the mouse. Antibiot Chemother 1953;3:483-490.Jacobs L, Melton ML, Kaufman HE. Treatment of experimental ocular toxoplasmosis. Arch Ophthalmol. 1964;71:111 -118.Jim RTS, Elizaga FV. Development of chronic granulocytic leukemia in a patient treated with pyrimethamine. Hawaii Med J. 1977;36:173-176.Sadoff L. Antimalarial drugs and Burkitt's lymphoma. Lancet. 1973;2:1262-1263.Bahna L. Pyrimethamine. LARC Monogr Eval Carcinog Risk Chem. 1977;13:233-242.Clive D, Johnson KO, Specter JKS, et al. Validation and characterization of the L5178Y/TK +/- mouse lymphoma mutagen assay system. Mut Res. 1979;59:61-108.Distributed by:Vyera Pharmaceuticals LLC New York, New York 10016004967-PI-005018942Rev. 8/2017","REFERENCES SECTION"
"21","008578","VYERAPHARMACEUTICALSNDC 69413-330-10DARAPRIM®(pyrimethamine) 25mg tabletsEach scored tablet contains
25 mg
Rx only 100 Tablets

Warning: Potent Drug - do notexceed recommended dosage.018939LOTEXPVYERAPHARMACEUTICALSNDC 69413-330-30DARAPRIM®(pyrimethamine) 25mg tabletsEach scored tablet contains
25 mg
Rx only 30 Tablets

Warning: Potent Drug - do notexceed recommended dosage. 018940LOTEXP","PACKAGE LABEL.PRINCIPAL DISPLAY PANEL"
"23","009768","Hydroxychloroquine sulfate is a white or practically white, crystalline powder, freely soluble in water; practically insoluble in alcohol, chloroform, and in ether. The chemical name for hydroxychloroquine sulfate is 2-[[4-[(7-Chloro-4-quinolyl) amino]pentyl] ethylamino]ethanol sulfate (1:1). Its structural formula is:The molecular weight of hydroxychloroquine sulfate is 433.95, and molecular formula is C18H26ClN3O.H2SO4.Hydroxychloroquine sulfate tablets contain 200 mg hydroxychloroquine sulfate, equivalent to 155 mg base, and are for oral administration.Inactive Ingredients: Dibasic calcium phosphate USP, hypromellose USP, magnesium stearate NF, polyethylene glycol 400 NF, polysorbate 80 NF, corn starch, titanium dioxide USP, carnauba wax NF, shellac NF, black iron oxide NF.","DESCRIPTION SECTION"
"24","009768","Pharmacokinetics: Following a single 200 mg oral dose of Hydroxychloroquine sulfate tablets to healthy males, the mean peak blood concentration of hydroxychloroquine was 129.6 ng/mL, reached in 3.26 hours with a half-life of 537 hours (22.4 days). In the same study, the plasma peak concentration was 50.3 ng/mL reached in 3.74 hours with a half-life of 2963 hours (123.5 days). Urine hydroxychloroquine levels were still detectable after 3 months with approximately 10% of the dose excreted as the parent drug. Results following a single dose of a 200 mg tablet versus i.v. infusion (155 mg), demonstrated a half-life of about 40 days and a large volume of distribution. Peak blood concentrations of metabolites were observed at the same time as peak levels of hydroxychloroquine. The mean fraction of the dose absorbed was 0.74. After administration of single 155 mg and 310 mg intravenous doses, peak blood concentrations ranged from 1161 ng/mL to 2436 ng/mL (mean 1918 ng/mL) following the 155 mg infusion and 6 months following the 310 mg infusion. Pharmacokinetic parameters were not significantly different over the therapeutic dose range of 155 mg and 310 mg indicating linear kinetics.Following chronic oral administration of hydroxychloroquine, significant levels of three metabolites, desethylhydroxychloroquine (DHCQ), desethylchloroquine (DCQ), and bidesethylhydroxychloroquine (BDCQ) have been found in plasma and blood, with DHCQ being the major metabolite. The absorption half-life was approximately 3 to 4 hours and the terminal half-life ranged from 40 to 50 days. The long half-life can be attributed to extensive tissue uptake rather than through decreased excretion. Peak plasma levels of hydroxychloroquine were seen in about 3 to 4 hours. Renal clearance in rheumatoid arthritis (RA) patients taking Hydroxychloroquine sulfate tablets for at least six months seemed to be similar to that of the single dose studies in volunteers, suggesting that no change occurs with chronic dosing. Range for renal clearance of unchanged drug was approximately 16 to 30% and did not correlate with creatinine clearance; therefore, a dosage adjustment is not required for patients with renal impairment. In RA patients, there was large variability as to the fraction of the dose absorbed (i.e. 30 to 100%), and mean hydroxychloroquine levels were significantly higher in patients with less disease activity. Cellular levels of patients on daily hydroxychloroquine have been shown to be higher in mononuclear cells than polymorphonuclear leucocytes.","PHARMACOKINETICS SECTION"
"25","009768","Mechanism of action: The precise mechanism by which hydroxychloroquine exhibits activity against Plasmodium is not known. Hydroxychloroquine, like chloroquine, is a weak base and may exert its effect by concentrating in the acid vesicles of the parasite and by inhibiting polymerization of heme. It can also inhibit certain enzymes by its interaction with DNA.Mechanism of action: The mechanisms underlying the anti-inflammatory and immunomodulatory effects of Hydroxychloroquine sulfate tablets are unknown.","MECHANISM OF ACTION SECTION"
"26","009768","Activity in vitro and in Clinical Infections: Hydroxychloroquine is active against the erythrocytic forms of chloroquine sensitive strains of Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, and Plasmodium vivax. Hydroxychloroquine is not active against the gametocytes and exoerythrocytic forms including the hypnozoite stage (P. vivax and P. ovale) of the Plasmodium parasites.Drug Resistance: P. falciparum strains exhibiting reduced susceptibility to chloroquine also show reduced susceptibility to hydroxychloroquine.Resistance of Plasmodium parasites to chloroquine is widespread (see INDICATIONS AND USAGE – Malaria).Patients in whom chloroquine or hydroxychloroquine have failed to prevent or cure clinical malaria or parasitemia, or patients who acquired malaria in a geographic area where chloroquine resistance is known to occur should be treated with another form of antimalarial therapy (see INDICATIONS AND USAGE – Malaria and WARNINGS).Hepatic/Renal Disease: Antimalarial compounds should be used with caution in patients with hepatic disease or alcoholism or in conjunction with known hepatotoxic drugs. A reduction in dosage may be necessary in patients with hepatic or renal disease, as well as in those taking medicines known to affect these organs.Hematologic Effects/Laboratory Tests: Antimalarial compounds should be used with caution in patients with hepatic disease or alcoholism or in conjunction with known hepatotoxic drugs. Periodic blood cell counts should be performed if patients are given prolonged therapy. If any severe blood disorder such as aplastic anemia, agranulocytosis, leukopenia, or thrombocytopenia, appears which is not attributable to the disease under treatment, consider discontinuation of Hydroxychloroquine sulfate tablets.Hydroxychloroquine sulfate tablets should be administered with caution in patients having glucose-6-phosphate dehydrogenase (G-6-PD) deficiency.Dermatologic Effects: Dermatologic reactions to Hydroxychloroquine sulfate tablets may occur and, therefore, proper care should be exercised when it is administered to any patient receiving a drug with a significant tendency to produce dermatitis.Please reference the How Supplied section listed above for a description of individual tablets.This drug product has been received by Aphena Pharma - TN in a manufacturer or distributor packaged configuration and repackaged in full compliance with all applicable cGMP regulations.The package configurations available from Aphena are listed below:Count200mg6043353-051-539043353-051-6018043353-051-80900043353-051-09Store between 20°-25°C (68°-77°F). See USP Controlled Room Temperature.Dispense in a tight light-resistant container as defined by USP.Keep this and all drugs out of the reach of children.Repackaged by:

Cookeville, TN 38506
20200413JH","SPL UNCLASSIFIED SECTION"
"28","009768","MalariaHydroxychloroquine sulfate tablets are indicated for the treatment of uncomplicated malaria due to P. falciparum, P. malariae, P. ovale, and P. vivax.Hydroxychloroquine sulfate tablets are indicated for the prophylaxis of malaria in geographic areas where chloroquine resistance is not reported.Limitations of Use in MalariaHydroxychloroquine sulfate tablets are not recommended for the treatment of complicated malaria.Hydroxychloroquine sulfate tablets are not effective against chloroquine or hydroxychloroquine-resistant strains of Plasmodium species (see CLINICAL PHARMACOLOGY – Microbiology). Hydroxychloroquine sulfate tablets are not recommended for the treatment of malaria acquired in geographic areas where chloroquine resistance occurs or when the Plasmodium species has not been identified.Hydroxychloroquine sulfate tablets are not recommended for malaria prophylaxis in geographic areas where chloroquine resistance occurs.Hydroxychloroquine sulfate tablets do not prevent relapses of P. vivax or P.ovale because they are ot active against the hypnozoite forms of these parasites. For radical cure of P. vivax and P. ovale infections, concomitant therapy with an 8-aminoquinoline compound is necessary (see CLINICAL PHARMACOLOGY – Microbiology).Prior to prescribing Hydroxychloroquine sulfate tablets for the treatment or prophylaxis of malaria, consult the Centers for Disease Control and Prevention (CDC) Malaria website (http://www.cdc.gov/malaria).Lupus ErythematosusHydroxychloroquine sulfate tablets are indicated for the treatment of chronic discoid lupus erythematosus and systemic lupus erythematosus in adults.Rheumatoid ArthritisHydroxychloroquine sulfate tablets are indicated for the treatment of acute and chronic rheumatoid arthritis in adults.","INDICATIONS & USAGE SECTION"
"29","009768","Use of Hydroxychloroquine sulfate tablets is contraindicated in patients with known hypersensitivity to 4-aminoquinoline compounds.","CONTRAINDICATIONS SECTION"
"30","009768","Resistant strains of malaria: Hydroxychloroquine sulfate tablets are not effective against chloroquine-resistant strains of P. falciparum (see CLINICAL PHARMACOLOGY – Microbiology).Ocular: Irreversible retinal damage has been observed in some patients who had received hydroxychloroquine sulfate. Significant risk factors for retinal damage include daily doses of hydroxychloroquine sulfate greater than 6.5 mg/kg (5 mg/kg base) of actual body weight, durations of use greater than five years, subnormal glomerular filtration, use of some concomitant drug products such as tamoxifen citrate and concurrent macular disease.A baseline ocular examination is recommended within the first year of starting Hydroxychloroquine sulfate tablets. The baseline exam should include: best corrected distance visual acuity (BCVA), an automated threshold visual field (VF) of the central 10 degrees (with retesting if an abnormality is noted), and spectral domain ocular coherence tomography (SD-OCT).For individuals with significant risk factors (daily dose of hydroxychloroquine sulfate greater than 5.0 mg/kg base of actual body weight, subnormal glomerular filtration, use of tamoxifen citrate or concurrent macular disease) monitoring should include annual examinations which include BCVA, VF and SD-OCT. For individuals without significant risk factors, annual exams can usually be deferred until five years of treatment.In individuals of Asian descent, retinal toxicity may first be noticed outside the macula. In patients of Asian descent, it is recommended that visual field testing be performed in the central 24 degrees instead of the central 10 degrees.It is recommended that hydroxychloroquine be discontinued if ocular toxicity is suspected and the patient should be closely observed given that retinal changes (and visual disturbances) may progress even after cessation of therapy.Cardiac Effects, including Cardiomyopathy and QT prolongation: Postmarketing cases of life-threatening and fatal cardiomyopathy have been reported with use of Hydroxychloroquine sulfate tablets as well as with use of chloroquine. Patients may present with atrioventricular block, pulmonary hypertension, sick sinus syndrome or with cardiac complications. ECG findings may include atrioventricular, right or left bundle branch block. Signs or symptoms of cardiac compromise have appeared during acute and chronic treatment. Clinical monitoring for signs and symptoms of cardiomyopathy is advised, including use of appropriate diagnostic tools such as ECG to monitor patients for cardiomyopathy during Hydroxychloroquine sulfate tablets therapy. Chronic toxicity should be considered when conduction disorders (bundle branch block/atrio-ventricular heart block) or biventricular hypertrophy are diagnosed. If cardiotoxicity is suspected, prompt discontinuation of Hydroxychloroquine sulfate tablets may prevent life-threatening complications.Hydroxychloroquine sulfate tablets prolong the QT interval. Ventricular arrhythmias and torsades de pointes have been reported in patients taking Hydroxychloroquine sulfate tablets (see OVERDOSAGE). Therefore, Hydroxychloroquine sulfate tablets should not be administered with other drugs that have the potential to prolong the QT interval (see DRUG INTERACTIONS).Worsening of psoriasis and porphyria: Use of Hydroxychloroquine sulfate tablets in patients with psoriasis may precipitate a severe attack of psoriasis. When used in patients with porphyria the condition may be exacerbated. The preparation should not be used in these conditions unless in the judgment of the physician the benefit to the patient outweighs the possible hazard.Proximal Myopathy and Neuropathy: Skeletal muscle myopathy or neuropathy leading to progressive weakness and atrophy of proximal muscle groups, depressed tendon reflexes, and abnormal nerve conduction, have been reported. Muscle and nerve biopsies have been associated with curvilinear bodies and muscle fiber atrophy with vacuolar changes. Assess muscle strength and deep tendon reflexes periodically in patients on long-term therapy with Hydroxychloroquine sulfate tablets.Neuropsychiatric events, including suicidality: Suicidal behavior has been rarely reported in patients treated with Hydroxychloroquine sulfate tablets.Hypoglycemia: Hydroxychloroquine sulfate tablets have been shown to cause severe hypoglycemia including loss of consciousness that could be life threatening in patients treated with or without antidiabetic medications (see DRUG INTERACTIONS and ADVERSE REACTIONS). Patients treated with Hydroxychloroquine sulfate tablets should be warned about the risk of hypoglycemia and the associated clinical signs and symptoms. Patients presenting with clinical symptoms suggestive of hypoglycemia during treatment with Hydroxychloroquine sulfate tablets should have their blood glucose checked and treatment reviewed as necessary.","WARNINGS SECTION"
"31","009768","General: Use with caution in patients with gastrointestinal, neurological, or blood disorders, and in those with a sensitivity to quinine.","GENERAL PRECAUTIONS SECTION"
"33","009768","Digoxin: Concomitant Hydroxychloroquine sulfate tablets and digoxin therapy may result in increased serum digoxin levels: serum digoxin levels should be closely monitored in patients receiving combined therapy.Insulin or antidiabetic drugs: As Hydroxychloroquine sulfate tablets may enhance the effects of a hypoglycemic treatment, a decrease in doses of insulin or antidiabetic drugs may be required.Drugs that prolong QT interval and other arrhythmogenic drugs: Hydroxychloroquine sulfate tablets prolong the QT interval and should not be administered with other drugs that have the potential to induce cardiac arrhythmias. Also, there may be an increased risk of inducing ventricular arrhythmias if Hydroxychloroquine sulfate tablets are used concomitantly with other arrhythmogenic drugs.Mefloquine and other drugs known to lower the convulsive threshold: Hydroxychloroquine sulfate tablets can lower the convulsive threshold. Co-administration of Hydroxychloroquine sulfate tablets with other antimalarials known to lower the convulsion threshold (e.g., mefloquine) may increase the risk of convulsions.Antiepileptics: The activity of antiepileptic drugs might be impaired if co-administered with Hydroxychloroquine sulfate tablets.Methotrexate: Combined use of methotrexate with Hydroxychloroquine sulfate tablets has not been studied and may increase the incidence of adverse effects.Cyclosporin: An increased plasma cyclosporin level was reported when cyclosporin and Hydroxychloroquine sulfate tablets were co-administered.The following interactions have been observed on treatment with the structurally related substance chloroquine phosphate, and therefore cannot be ruled out for hydroxychloroquine.Praziquantel: Chloroquine has been reported to reduce the bioavailability of praziquantel.Antacids and kaolin: Antacids and kaolin can reduce absorption of chloroquine; an interval of at least 4 hours between intake of these agents and chloroquine should be observed.Cimetidine: Cimetidine can inhibit the metabolism of chloroquine, increasing its plasma level. Concomitant use of cimetidine should be avoided.Ampicillin: In a study of healthy volunteers, chloroquine significantly reduced the bioavailability of ampicillin.","DRUG INTERACTIONS SECTION"
"34","009768","Information for Patients: Patients should be informed of the early signs and symptoms of toxicity such as rash or visual changes. Patients must see their physicians promptly in case of the appearance of these or of any unusual effects. Periodic laboratory tests may be recommended in some patients. Patients should be fully informed of the potential risks of the use of Hydroxychloroquine sulfate tablets, especially in pregnancy and in children.","INFORMATION FOR PATIENTS SECTION"
"35","009768","Carcinogenesis, mutagenesis, impairment of fertility: Long-term studies in animals have not been conducted to evaluate the carcinogenic potential of Hydroxychloroquine sulfate tablets.The mutagenic potential of hydroxychloroquine was not evaluated. However, chloroquine has been shown to be a catalytic inhibitor of DNA repair enzymes (topoisomerase II) and to produce weak genotoxic effects through this mode of action.","CARCINOGENESIS & MUTAGENESIS & IMPAIRMENT OF FERTILITY SECTION"
"36","009768","Teratogenic Effects: Human pregnancies resulting in live births have been reported in the literature and no increase in the rate of birth defects has been demonstrated. Embryonic deaths and malformations of anophthalmia and microphthalmia in the offspring have been reported when pregnant rats received large doses of chloroquine.","TERATOGENIC EFFECTS SECTION"
"37","009768","Nursing Mothers: Caution should be exercised when administering Hydroxychloroquine sulfate tablets to nursing women. It has been demonstrated that hydroxychloroquine administered to nursing women is excreted in human milk and it is known that infants are extremely sensitive to the toxic effects of 4-aminoquinolines.","NURSING MOTHERS SECTION"
"38","009768","Pediatric Use: Safety and efficacy have not been established in the chronic use of Hydroxychloroquine sulfate tablets for systemic lupus erythematosus and juvenile idiopathic arthritis in children. Children are especially sensitive to the 4-aminoquinoline compounds. Most reported fatalities followed the accidental ingestion of chloroquine, sometimes in small doses (0.75 g or 1 g in one 3-year-old child). Patients should be strongly warned to keep these drugs out of the reach of children (see OVERDOSAGE).","PEDIATRIC USE SECTION"
"39","009768","Geriatric Use: Clinical studies of Hydroxychloroquine sulfate tablets did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. However, this drug is known to be substantially excreted by the kidney, and the risk of toxic reactions to this drug may be greater in patients with impaired renal function. Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection and it may be useful to monitor renal function.","GERIATRIC USE SECTION"
"40","009768","The following adverse reactions have been identified during post-approval use of Hydroxychloroquine sulfate tablets or other 4-aminoqunoline compounds. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.Blood and lymphatic system disorders: Bone marrow failure, anemia, aplastic anemia, agranulocytosis, leukopenia, and thrombocytopenia. Hemolysis reported in individuals with glucose-6-phosphate dehydrogenase (G-6-PD) deficiency.Cardiac disorders: Cardiomyopathy which may result in cardiac failure and in some cases a fatal outcome (see WARNINGS and OVERDOSAGE). Hydroxychloroquine sulfate tablets prolong the QT interval. Ventricular arrhythmias and torsade de pointes have been reported in patients taking Hydroxychloroquine sulfate tablets (see OVERDOSAGE and DRUG INTERACTIONS).Ear and labyrinth disorders: Vertigo, tinnitus, nystagmus, nerve deafness, deafness.Eye disorders: Irreversible retinopathy with retinal pigmentation changes (bull’s eye appearance), visual field defects (paracentral scotomas) and visual disturbances (visual acuity), maculopathies (macular degeneration), decreased dark adaptation, color vision abnormalities, corneal changes (edema and opacities) including corneal deposition of drug with or without accompanying symptoms (halo around lights, photophobia, blurred vision).Gastrointestinal disorders: Nausea, vomiting, diarrhea, and abdominal pain.General disorders and administration site conditions: Fatigue.Hepatobiliary disorders: Liver function tests abnormal, hepatic failure acute.Immune system disorders: Urticaria, angioedema, bronchospasmMetabolism and nutrition disorders: Decreased appetite, hypoglycemia, porphyria, weight decreased.Musculoskeletal and connective tissue disorders: Sensorimotor disorder, skeletal muscle myopathy or neuromyopathy leading to progressive weakness and atrophy of proximal muscle groups, depression of tendon reflexes and abnormal nerve conduction.Nervous system disorders: Headache, dizziness, seizure, ataxia and extrapyramidal disorders such as dystonia, dyskinesia, and tremor have been reported with this class of drugs.Psychiatric disorders: Affect/emotional lability, nervousness, irritability, nightmares, psychosis, suicidal behavior.Skin and subcutaneous tissue disorders: Rash, pruritus, pigmentation disorders in skin and mucous membranes, hair color changes, alopecia. Dermatitis bullous eruptions including erythema multiforme, Stevens-Johnson syndrome, and toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms (DRESS syndrome), photosensitivity, dermatitis exfoliative, acute generalized exanthematous pustulosis (AGEP). AGEP has to be distinguished from psoriasis, although Hydroxychloroquine sulfate tablets may precipitate attacks of psoriasis. It may be associated with pyrexia and hyperleukocytosis.To report SUSPECTED ADVERSE REACTIONS, contact Prasco Laboratories at 1-866-525-0688 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","ADVERSE REACTIONS SECTION"
